chunk_id	layer	section	para	seq	class	raw_text	book	chapter	verses	target	confidence	resolution	carried_from	divergence_id	pair_confidence	witness_target	divergence_class	divergence_why
ddc-2-11	la	la	{¶17}	7	BOOK CH V	1 Thess. iv. 13.	1Thess	4	13	1Thess 4:13	high	book-named				1Thess 4:13		
ddc-2-11	la	la	{¶18}	0	BOOK CH V	Gen. xxiii. 8.	Gen	23	8	Gen 23:8	high	book-named				Gen 23:8		
ddc-2-11	la	la	{¶18}	1	— CH V	et xxxv. 20.	Gen	35	20	Gen 35:20	carried	book-carried	ddc-2-11:la:{¶18}:0			Gen 35:20		
ddc-2-11	la	la	{¶18}	2	— CH V+&c	et l. 2, &c.	Gen	50	2	Gen 50:2 &c.	carried	book-carried	ddc-2-11:la:{¶18}:1			Gen 50:2 &c.		
ddc-2-11	la	la	{¶18}	3	BOOK CH V	2 Chron. xvi. 14.	2Chr	16	14	2Chr 16:14	high	book-named				2Chr 16:14		
ddc-2-11	la	la	{¶18}	4	BOOK CH V	Jer. viii. 2.	Jer	8	2	Jer 8:2	high	book-named				Jer 8:2		
ddc-2-11	la	la	{¶18}	5	— CH V+&c	et xvi. 4, &c.	Jer	16	4	Jer 16:4 &c.	carried	book-carried	ddc-2-11:la:{¶18}:4			Jer 16:4 &c.		
ddc-2-11	la	la	{¶18}	6	BOOK CH V	Gen. xxiii. 19.	Gen	23	19	Gen 23:19	high	book-named				Gen 23:19		
ddc-2-11	la	la	{¶18}	7	— CH V	cap. xxxv. 18.	Gen	35	18	Gen 35:18	carried	book-carried	ddc-2-11:la:{¶18}:6			Gen 35:18		
ddc-2-11	la	la	{¶18}	8	— CH V	et xlviii. 7.	Gen	48	7	Gen 48:7	carried	book-carried	ddc-2-11:la:{¶18}:7			Gen 48:7		
ddc-2-11	la	la	{¶18}	9	BOOK CH V	1 Sam. xxv. 1.	1Sam	25	1	1Sam 25:1	high	book-named				1Sam 25:1		
ddc-2-11	la	la	{¶18}	10	BOOK CH V	Gen. xlix. 29.	Gen	49	29	Gen 49:29	high	book-named				Gen 49:29		
ddc-2-11	la	la	{¶18}	11	— CH V	et l. 25.	Gen	50	25	Gen 50:25	carried	book-carried	ddc-2-11:la:{¶18}:10			Gen 50:25		
ddc-2-11	la	la	{¶18}	12	BOOK CH V	Jos. xxiv. 32.	Josh	24	32	Josh 24:32	high	book-named				Josh 24:32		
ddc-2-11	la	la	{¶18}	13	BOOK CH V	Heb. xi. 22.	Heb	11	22	Heb 11:22	high	book-named				Heb 11:22		
ddc-2-11	la	la	{¶19}	0	BOOK CH V	Lev. xix. 14.	Lev	19	14	Lev 19:14	high	book-named				Lev 19:14		
ddc-2-11	la	la	{¶19}	1	BOOK CH V	Deut. xxvii. 18.	Deut	27	18	Deut 27:18	high	book-named				Deut 27:18		
ddc-2-11	la	la	{¶19}	2	BOOK CH V+&c	Amos. i. 6, &c.	Amos	1	6	Amos 1:6 &c.	high	book-named				Amos 1:6 &c.		
ddc-2-11	la	la	{¶19}	3	BOOK CH V	Psal. cxxxvii. 7.	Ps	137	7	Ps 137:7	high	book-named				Ps 137:7		
ddc-2-11	la	la	{¶19}	4	BOOK CH V-LIST	Luc. x. 31, 32.	Luke	10	31,32	Luke 10:31,32	high	book-named				Luke 10:31,32		
ddc-2-11	la	la	{¶20}	0	BOOK CH V-LIST	Prov. vi. 1, 2.	Prov	6	1,2	Prov 6:1,2	high	book-named				Prov 6:1,2		
ddc-2-11	la	la	{¶20}	1	— CH V	et xi. 15.	Prov	11	15	Prov 11:15	carried	book-carried	ddc-2-11:la:{¶20}:0			Prov 11:15		
ddc-2-11	la	la	{¶20}	2	— CH V	et xvii. 18.	Prov	17	18	Prov 17:18	carried	book-carried	ddc-2-11:la:{¶20}:1			Prov 17:18		
ddc-2-11	la	la	{¶20}	3	— CH V	et xx. 16.	Prov	20	16	Prov 20:16	carried	book-carried	ddc-2-11:la:{¶20}:2			Prov 20:16		
ddc-2-11	la	la	{¶20}	4	— CH V	et xxvii. 13.	Prov	27	13	Prov 27:13	carried	book-carried	ddc-2-11:la:{¶20}:3			Prov 27:13		
ddc-2-11	la	la	{¶20}	5	— CH V-LIST	et xxii. 26, 27.	Prov	22	26,27	Prov 22:26,27	carried	book-carried	ddc-2-11:la:{¶20}:4			Prov 22:26,27		
ddc-2-11	la	la	{¶21}	0	BOOK CH V	Prov. xxv. 17.	Prov	25	17	Prov 25:17	high	book-named				Prov 25:17		
ddc-2-11	la	la	{¶21}	1	BOOK CH V-LIST	1 Reg. xiii. 15, 16.	1Kgs	13	15,16	1Kgs 13:15,16	high	book-named				1Kgs 13:15,16		
ddc-2-11	la	la	{¶23}	0	BOOK CH V	2 Cor. viii. 16.	2Cor	8	16	2Cor 8:16	high	book-named				2Cor 8:16		
ddc-2-11	la	la	{¶23}	1	BOOK CH V	Luc. ii. 10.	Luke	2	10	Luke 2:10	high	book-named				Luke 2:10		
ddc-2-11	la	la	{¶23}	2	— CH V	et xv. 10.	Luke	15	10	Luke 15:10	carried	book-carried	ddc-2-11:la:{¶23}:1			Luke 15:10		
ddc-2-11	la	la	{¶23}	3	BOOK CH V	Rom. xii. 15.	Rom	12	15	Rom 12:15	high	book-named				Rom 12:15		
ddc-2-11	la	la	{¶24}	0	BOOK CH V+&c	Matt. xx. 11, &c.	Matt	20	11	Matt 20:11 &c.	high	book-named				Matt 20:11 &c.		
ddc-2-11	la	la	{¶24}	1	BOOK CH —	Gen. iv.	Gen	4		Gen 4	high	book-named				Gen 4		
ddc-2-11	la	la	{¶24}	2	— CH V	cap. xxvii. 43.	Gen	27	43	Gen 27:43	carried	book-carried	ddc-2-11:la:{¶24}:1	d245	plausible	Gen 27:41	versification	J–T Gen 27 begins at Gen 26:34 (inferred, leaf 47)
ddc-2-11	la	la	{¶24}	3	BOOK CH V	Act. vii. 9.	Acts	7	9	Acts 7:9	high	book-named				Acts 7:9		
ddc-2-11	la	la	{¶24}	4	BOOK CH V-LIST	1 Sam. xviii. 7, 8.	1Sam	18	7,8	1Sam 18:7,8	high	book-named				1Sam 18:7,8		
ddc-2-11	la	la	{¶24}	5	BOOK CH —	Dan. vi.	Dan	6		Dan 6	high	book-named				Dan 6		
ddc-2-11	la	la	{¶24}	6	BOOK CH V	Num. xi. 28.	Num	11	28	Num 11:28	high	book-named				Num 11:28		
ddc-2-11	la	la	{¶24}	7	BOOK CH V	Joan. iii. 26.	John	3	26	John 3:26	high	book-named				John 3:26		
ddc-2-11	la	la	{¶24}	8	BOOK CH V	Marc. ix. 38.	Mark	9	38	Mark 9:38	high	book-named				Mark 9:38		
ddc-2-11	la	la	{¶24}	9	BOOK CH V	Matt. xx. 15.	Matt	20	15	Matt 20:15	high	book-named				Matt 20:15		
ddc-2-11	la	la	{¶24}	10	BOOK CH —	Gen. iv.	Gen	4		Gen 4	high	book-named				Gen 4		
ddc-2-11	la	la	{¶24}	11	BOOK CH V-LIST	2 Sam. iii. 24, 27.	2Sam	3	24,27	2Sam 3:24,27	high	book-named				2Sam 3:24,27		
ddc-2-11	la	la	{¶24}	12	BOOK CH V	Prov. xiv. 30.	Prov	14	30	Prov 14:30	high	book-named				Prov 14:30		
ddc-2-11	la	la	{¶24}	13	BOOK CH V	Jacob. iii. 16.	Jas	3	16	Jas 3:16	high	book-named				Jas 3:16		
ddc-2-11	la	la	{¶25}	0	BOOK CH V+&c	Luc. xiv. 1, &c.	Luke	14	1	Luke 14:1 &c.	high	book-named				Luke 14:1 &c.		
ddc-2-11	la	la	{¶26}	0	BOOK CH V	Zech. vii. 9.	Zech	7	9	Zech 7:9	high	book-named				Zech 7:9		
ddc-2-11	la	la	{¶26}	1	BOOK CH V	Job. xxx. 25.	Job	30	25	Job 30:25	high	book-named				Job 30:25		
ddc-2-11	la	la	{¶26}	2	BOOK CH V	Matt. v. 7.	Matt	5	7	Matt 5:7	high	book-named				Matt 5:7		
ddc-2-11	la	la	{¶26}	3	BOOK CH V	Luc. x. 33.	Luke	10	33	Luke 10:33	high	book-named				Luke 10:33		
ddc-2-11	la	la	{¶26}	4	BOOK CH V	Rom. xii. 15.	Rom	12	15	Rom 12:15	high	book-named				Rom 12:15		
ddc-2-11	la	la	{¶26}	5	BOOK CH V	Prov. xii. 9.	Prov	12	9	Prov 12:9	high	book-named		d246	plausible	Prov 12:10	versification	J–T Prov 12 begins at Prov 12:2 (read, leaf 512)
ddc-2-11	la	la	{¶26}	6	BOOK CH V-LIST	Deut. xxii. 6, 7, 8.	Deut	22	6,7,8	Deut 22:6,7,8	high	book-named		d247	plausible	Deut 22:6,7,8		
ddc-2-11	la	la	{¶27}	0	BOOK CH V	Prov. xii. 9.	Prov	12	9	Prov 12:9	high	book-named		d248	plausible	Prov 12:10	versification	J–T Prov 12 begins at Prov 12:2 (read, leaf 512)
ddc-2-11	la	la	{¶27}	1	BOOK CH V	Jacob. ii. 13.	Jas	2	13	Jas 2:13	high	book-named				Jas 2:13		
ddc-2-11	la	la	{¶28}	0	BOOK CH V	Psal. lii. 3.	Ps	52	3	Ps 52:3	high	book-named		d249	plausible	Ps 52:1	versification-predicted	Psalm superscription numbered as 2 verses (§13.1 rule; this psalm's own leaf not read)
ddc-2-11	la	la	{¶28}	1	BOOK CH —	Psal. cxxxvii.	Ps	137		Ps 137	high	book-named				Ps 137		
